alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,f) 25 a 29 años,8392
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,g) 30 a 34 años,8313
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,h) 35 a 39 años,7642
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,i) 40 a 44 años,7326
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,j) 45 a 49 años,7418
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,k) 50 a 54 años,6835
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,l) 55 a 59 años,5357
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,m) 60 a 64 años,4245
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,n) 65 a 69 años,2979
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,o) 70 a 74 años,2168
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,p) 75 a 79 años,1388
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,q) 80 a 84 años,974
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,r) 85 años y más,881
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,a) 0 a 4 años,32
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,b) 5 a 9 años,41
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,c) 10 a 14 años,27
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,d) 15 a 19 años,28
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,e) 20 a 24 años,40
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,f) 25 a 29 años,31
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,g) 30 a 34 años,36
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,h) 35 a 39 años,31
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,i) 40 a 44 años,23
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,j) 45 a 49 años,12
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,k) 50 a 54 años,22
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,l) 55 a 59 años,17
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,m) 60 a 64 años,11
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,n) 65 a 69 años,7
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,o) 70 a 74 años,4
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,p) 75 a 79 años,3
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,q) 80 a 84 años,1
CUAJIMALPA DE MORELOS,Cruz Blanca,Hombre,r) 85 años y más,0
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,a) 0 a 4 años,39
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,b) 5 a 9 años,33
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,c) 10 a 14 años,27
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,d) 15 a 19 años,27
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,e) 20 a 24 años,32
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,f) 25 a 29 años,45
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,g) 30 a 34 años,29
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,h) 35 a 39 años,24
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,i) 40 a 44 años,20
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,j) 45 a 49 años,19
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,k) 50 a 54 años,26
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,l) 55 a 59 años,13
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,m) 60 a 64 años,12
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,n) 65 a 69 años,6
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,o) 70 a 74 años,6
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,p) 75 a 79 años,3
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,q) 80 a 84 años,0
CUAJIMALPA DE MORELOS,Cruz Blanca,Mujer,r) 85 años y más,1
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,a) 0 a 4 años,971
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,b) 5 a 9 años,1089
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,c) 10 a 14 años,1028
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,d) 15 a 19 años,1092
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,e) 20 a 24 años,1121
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,f) 25 a 29 años,1089
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,g) 30 a 34 años,1069
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,h) 35 a 39 años,968
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,i) 40 a 44 años,819
